date,price
2020년 07월 10일,1201.105
2020년 07월 09일,1195.085
2020년 07월 08일,1195.805
2020년 07월 07일,1193.505
2020년 07월 06일,1195.605
2020년 07월 03일,1200.12
2020년 07월 02일,1200.415
2020년 07월 01일,1201.485
2020년 06월 30일,1199.885
2020년 06월 29일,1201.71
2020년 06월 26일,1200.915
2020년 06월 25일,1204.995
2020년 06월 24일,1203.79
2020년 06월 23일,1210.935
2020년 06월 22일,1212.56
2020년 06월 19일,1209.89
2020년 06월 18일,1212.925
2020년 06월 17일,1214.805
2020년 06월 16일,1209.655
2020년 06월 15일,1210.145
2020년 06월 12일,1205.545
2020년 06월 11일,1198.255
2020년 06월 10일,1192.515
2020년 06월 09일,1198.96
2020년 06월 08일,1199.9
2020년 06월 05일,1209.555
2020년 06월 04일,1216.57
2020년 06월 03일,1217.395
2020년 06월 02일,1221.83
2020년 06월 01일,1226.965
2020년 05월 29일,1235.44
2020년 05월 28일,1238.15
2020년 05월 27일,1234.97
2020년 05월 26일,1236.405
2020년 05월 25일,1241.25
2020년 05월 22일,1238.66
2020년 05월 21일,1230.48
2020년 05월 20일,1228.435
2020년 05월 19일,1224.305
2020년 05월 18일,1229.74
2020년 05월 15일,1230.94
2020년 05월 14일,1230.075
2020년 05월 13일,1225.785
2020년 05월 12일,1224.57
2020년 05월 11일,1220.18
2020년 05월 08일,1218.165
2020년 05월 07일,1223.57
2020년 05월 06일,1225.3
2020년 05월 05일,1221.51
2020년 05월 04일,1226.945
2020년 05월 01일,1219.485
2020년 04월 30일,1209.605
2020년 04월 29일,1216.935
2020년 04월 28일,1222.405
2020년 04월 27일,1227.955
2020년 04월 24일,1234.085
2020년 04월 23일,1232.475
2020년 04월 22일,1233.915
2020년 04월 21일,1230.97
2020년 04월 20일,1218.67
2020년 04월 17일,1221.7
2020년 04월 16일,1226.735
2020년 04월 15일,1217.69
2020년 04월 14일,1215.38
2020년 04월 13일,1216.645
2020년 04월 10일,1211.37
2020년 04월 09일,1215.515
2020년 04월 08일,1218.64
2020년 04월 07일,1217.175
2020년 04월 06일,1231.545
2020년 04월 03일,1232.415
2020년 04월 02일,1234.425
2020년 04월 01일,1228.035
2020년 03월 31일,1219.745
2020년 03월 30일,1219.695
2020년 03월 27일,1216.3
2020년 03월 26일,1223.955
2020년 03월 25일,1232.575
2020년 03월 24일,1252.97
2020년 03월 23일,1268.725
2020년 03월 20일,1250.91
2020년 03월 19일,1270.19
2020년 03월 18일,1250.375
2020년 03월 17일,1239.83
2020년 03월 16일,1221.515
2020년 03월 13일,1216.125
2020년 03월 12일,1202.66
2020년 03월 11일,1191.19
2020년 03월 10일,1193.665
2020년 03월 09일,1197.6
2020년 03월 06일,1189.84
2020년 03월 05일,1186.46
2020년 03월 04일,1184.99
2020년 03월 03일,1187.51
2020년 03월 02일,1198.095
2020년 02월 28일,1209.075
2020년 02월 27일,1212.79
2020년 02월 26일,1216.23
2020년 02월 25일,1214.585
2020년 02월 24일,1214.965
2020년 02월 21일,1209.105
2020년 02월 20일,1200.205
2020년 02월 19일,1190.7
2020년 02월 18일,1188.38
2020년 02월 17일,1182.535
2020년 02월 14일,1183.165
2020년 02월 13일,1181.63
2020년 02월 12일,1180.135
2020년 02월 11일,1184.495
2020년 02월 10일,1189.915
2020년 02월 07일,1190.505
2020년 02월 06일,1182.24
2020년 02월 05일,1186.54
2020년 02월 04일,1188.76
2020년 02월 03일,1194.805
2020년 01월 31일,1191.215
2020년 01월 30일,1185.945
2020년 01월 29일,1177.08
2020년 01월 28일,1178.42
2020년 01월 27일,1174.9
2020년 01월 24일,1168.54
2020년 01월 23일,1167.53
2020년 01월 22일,1166.11
2020년 01월 21일,1164.355
2020년 01월 20일,1159.035
2020년 01월 17일,1158.95
2020년 01월 16일,1159.235
2020년 01월 15일,1159.325
2020년 01월 14일,1154.98
2020년 01월 13일,1156.35
2020년 01월 10일,1160.855
2020년 01월 09일,1160.48
2020년 01월 08일,1170.085
2020년 01월 07일,1165.965
2020년 01월 06일,1169.385
2020년 01월 03일,1162.265
2020년 01월 02일,1157.315
2020년 01월 01일,1154.7
2019년 12월 31일,1155.97
2019년 12월 30일,1157.755
2019년 12월 27일,1160.455
2019년 12월 26일,1161.585
2019년 12월 25일,1162.26
2019년 12월 24일,1163.225
2019년 12월 23일,1161.97
2019년 12월 20일,1162.015
2019년 12월 19일,1165.205
2019년 12월 18일,1166.08
2019년 12월 17일,1166.385
2019년 12월 16일,1172.555
2019년 12월 13일,1173.675
2019년 12월 12일,1181.335
2019년 12월 11일,1192.365
2019년 12월 10일,1191.755
2019년 12월 09일,1189.335
2019년 12월 06일,1189.115
2019년 12월 05일,1190.405
2019년 12월 04일,1192.435
2019년 12월 03일,1188.94
2019년 12월 02일,1182.505
2019년 11월 29일,1180.16
2019년 11월 28일,1178.45
2019년 11월 27일,1175.55
2019년 11월 26일,1174.625
2019년 11월 25일,1176.72
2019년 11월 22일,1177.995
2019년 11월 21일,1174.675
2019년 11월 20일,1170.02
2019년 11월 19일,1167.99
2019년 11월 18일,1165.175
2019년 11월 15일,1166.48
2019년 11월 14일,1170.68
2019년 11월 13일,1169.495
2019년 11월 12일,1163.415
2019년 11월 11일,1162.615
2019년 11월 08일,1156.82
2019년 11월 07일,1158.005
2019년 11월 06일,1158.97
2019년 11월 05일,1158.62
2019년 11월 04일,1161.395
2019년 11월 01일,1167.765
2019년 10월 31일,1165.365
2019년 10월 30일,1167.58
2019년 10월 29일,1166.355
2019년 10월 28일,1169.82
2019년 10월 25일,1173.7
2019년 10월 24일,1171.59
2019년 10월 23일,1173.48
2019년 10월 22일,1171.945
2019년 10월 21일,1174.98
2019년 10월 18일,1180.51
2019년 10월 17일,1181.72
2019년 10월 16일,1187.29
2019년 10월 15일,1184.965
2019년 10월 14일,1183.79
2019년 10월 11일,1185.225
2019년 10월 10일,1195.325
2019년 10월 09일,1198.155
2019년 10월 08일,1196.205
2019년 10월 07일,1195.44
2019년 10월 04일,1197.32
2019년 10월 03일,1203.855
2019년 10월 02일,1204.395
2019년 10월 01일,1200.22
2019년 09월 30일,1199.55
2019년 09월 27일,1200.33
2019년 09월 26일,1200.215
2019년 09월 25일,1198.335
2019년 09월 24일,1195.265
2019년 09월 23일,1194.945
2019년 09월 20일,1191.355
2019년 09월 19일,1193.725
2019년 09월 18일,1190.63
2019년 09월 17일,1187.62
2019년 09월 16일,1183.88
2019년 09월 13일,1179.885
2019년 09월 12일,1184.48
2019년 09월 11일,1191.915
2019년 09월 10일,1191.62
2019년 09월 09일,1192.065
2019년 09월 06일,1194.38
2019년 09월 05일,1200.7
2019년 09월 04일,1207.74
2019년 09월 03일,1214.14
2019년 09월 02일,1212.25
2019년 08월 30일,1209.145
2019년 08월 29일,1212.575
2019년 08월 28일,1213.73
2019년 08월 27일,1213.05
2019년 08월 26일,1216.4
2019년 08월 23일,1212.35
2019년 08월 22일,1207.17
2019년 08월 21일,1204.36
2019년 08월 20일,1209.8
2019년 08월 19일,1211.085
2019년 08월 16일,1210.505
2019년 08월 15일,1215.965
2019년 08월 14일,1212.5
2019년 08월 13일,1215.095
2019년 08월 12일,1217.135
2019년 08월 09일,1212.215
2019년 08월 08일,1211.31
2019년 08월 07일,1215.835
2019년 08월 06일,1214.82
2019년 08월 05일,1211.845
2019년 08월 02일,1199.69
2019년 08월 01일,1192.1
2019년 07월 31일,1184.615
2019년 07월 30일,1182.045
2019년 07월 29일,1183.165
2019년 07월 26일,1184.2
2019년 07월 25일,1181.22
2019년 07월 24일,1178.665
2019년 07월 23일,1178.055
2019년 07월 22일,1177.26
2019년 07월 19일,1173.34
2019년 07월 18일,1178.18
2019년 07월 17일,1180.16
2019년 07월 16일,1179.37
2019년 07월 15일,1179.53
2019년 07월 12일,1177.02
2019년 07월 11일,1174.09
2019년 07월 10일,1179.33
2019년 07월 09일,1181.26
2019년 07월 08일,1178.605
2019년 07월 05일,1171.825
2019년 07월 04일,1169.32
2019년 07월 03일,1169.26
